Starting aircraft logger...
Connecting to 127.0.0.1:30003...
Connected. Listening for aircraft data...
Logged aircraft: ['2025-05-05 02:49:17', '7C7AA0', 'VOZ267', '19575', '414', '-37.20525', '145.42656']
Logged aircraft: ['2025-05-05 02:49:18', '7C7CAA', 'YWS', '36950', '287', '-37.09487', '145.41044']
Logged aircraft: ['2025-05-05 02:49:26', '7C7CAA', 'YWS', '36975', '288', '-37.09171', '145.41355']
Logged aircraft: ['2025-05-05 02:49:32', '7C7AA0', 'VOZ267', '19800', '415', '-37.19864', '145.43749']
Logged aircraft: ['2025-05-05 02:49:34', '7C7CAA', 'YWS', '37025', '290', '-37.08333', '145.42185']
Logged aircraft: ['2025-05-05 02:49:35', '7C7CAA', 'YWS', '37150', '292', '-37.07467', '145.43044']
Logged aircraft: ['2025-05-05 02:49:45', '7C7CAA', 'YWS', '37175', '292', '-37.07373', '145.43140']
Logged aircraft: ['2025-05-05 02:49:47', '7C7AA0', 'VOZ267', '20475', '417', '-37.17219', '145.48102']
Flushed stale aircraft: ['2025-05-05 02:50:09', '7C7CC6', '', '1225', '127', '-38.08183', '145.89509']
Flushed stale aircraft: ['2025-05-05 02:51:55', '7C7AA0', '', '21075', '417', '-37.16556', '145.49194']
Logged aircraft: ['2025-05-05 02:51:56', 'C82B0B', 'ANZ124', '17825', '462', '-37.55849', '145.47684']
Logged aircraft: ['2025-05-05 02:52:07', 'C82B0B', 'ANZ124', '19275', '475', '-37.57315', '145.56785']
Flushed stale aircraft: ['2025-05-05 02:52:10', '7C7CAA', '', '37325', '292', '-37.06169', '145.44338']
Logged aircraft: ['2025-05-05 02:52:22', 'C82B0B', 'ANZ124', '19550', '476', '-37.57516', '145.58065']
Logged aircraft: ['2025-05-05 02:52:27', 'C82B0B', 'ANZ124', '20250', '479', '-37.58139', '145.62021']
Logged aircraft: ['2025-05-05 02:52:37', 'C82B0B', 'ANZ124', '20475', '480', '-37.58368', '145.63477']
Logged aircraft: ['2025-05-05 02:52:42', 'C82B0B', 'ANZ124', '20850', '484', '-37.58784', '145.66147']
Logged aircraft: ['2025-05-05 02:52:47', 'C82B0B', 'ANZ124', '21050', '485', '-37.59013', '145.67585']
Logged aircraft: ['2025-05-05 02:52:52', 'C82B0B', 'ANZ124', '21275', '486', '-37.59219', '145.68904']
Logged aircraft: ['2025-05-05 02:52:57', 'C82B0B', 'ANZ124', '21500', '487', '-37.59453', '145.70390']
Logged aircraft: ['2025-05-05 02:53:07', 'C82B0B', 'ANZ124', '21675', '488', '-37.59650', '145.71646']
Flushed stale aircraft: ['2025-05-05 02:55:37', 'C82B0B', '', '22125', '490', '-37.60130', '145.74691']
Flushed stale aircraft: ['2025-05-05 02:56:37', '064B27', '', '', '0', '', '']
Logged aircraft: ['2025-05-05 02:56:56', '7C6D24', 'VOZ1593', '19275', '437', '-37.15462', '145.41387']
Logged aircraft: ['2025-05-05 02:57:16', '7C6D24', 'VOZ1593', '19500', '438', '-37.15164', '145.41901']
Logged aircraft: ['2025-05-05 02:57:21', '7C6D24', 'VOZ1593', '20300', '439', '-37.12760', '145.46090']
Flushed stale aircraft: ['2025-05-05 03:00:57', '7C6D24', '', '20500', '439', '-37.12157', '145.47143']
